track_popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_occurences,duration_sec,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,subgenre_big room,subgenre_classic rock,subgenre_dance pop,subgenre_electro house,subgenre_electropop,subgenre_gangster rap,subgenre_hard rock,subgenre_hip hop,subgenre_hip pop,subgenre_indie poptimism,subgenre_latin hip hop,subgenre_latin pop,subgenre_neo soul,subgenre_new jack swing,subgenre_permanent wave,subgenre_pop edm,subgenre_post-teen pop,subgenre_progressive electro house,subgenre_reggaeton,subgenre_southern hip hop,subgenre_trap,subgenre_tropical,subgenre_urban contemporary,days_since_release
92,0.474,0.631,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,8,189.323,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401
92,0.656,0.614,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,6,153.75,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529
92,0.511,0.566,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,2,239.836,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699
91,0.857,0.621,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,5,204.467,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485
91,0.881,0.457,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,6,198.913,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2332
91,0.754,0.646,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,6,242.573,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499
91,0.477,0.682,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,6,202.205,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478
91,0.676,0.771,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,207.133,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338
91,0.598,0.526,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,7,168.387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394
91,0.816,0.63,-5.568,1,0.226,0.133,0.0,0.0692,0.715,96.493,7,131.607,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361
91,0.843,0.391,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,7,160.627,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499
91,0.654,0.63,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,5,167.693,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401
90,0.459,0.575,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,5,215.107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355
90,0.734,0.836,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,5,270.741,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2444
